Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Currencies
British 10 Pence,british-10-pence,5e847faae2c9cc8fa0e79460,5e8480605b5cc556b5f618a0,Wed Apr 01 2020 11:52:00 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:52:00 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-single; gripper-coin-set-of-four
English Penny,english-penny,5e847faae2c9cc8fa0e79460,5e84808675c3446ef1bb572e,Wed Apr 01 2020 11:52:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:52:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-single; gripper-coin-set-of-four
Euro 50 Cent Piece,euro-50-cent-piece,5e847faae2c9cc8fa0e79460,5e84804a75c34462dcbb572a,Wed Apr 01 2020 11:51:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:51:38 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-single; gripper-coin-set-of-four
US Eisenhower,us-eisenhower,5e847faae2c9cc8fa0e79460,5e84807375c3442dbebb572d,Wed Apr 01 2020 11:52:19 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:52:19 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-single; gripper-coin-set-of-four
 US Half Dollar,us-half-dollar,5e847faae2c9cc8fa0e79460,5e848030cade005fd64d94dc,Wed Apr 01 2020 11:51:12 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:51:12 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-single; gripper-coin-set-of-four
US Quarter,us-quarter,5e847faae2c9cc8fa0e79460,5e84800490c306eae57bdca6,Wed Apr 01 2020 11:50:28 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 11:50:28 GMT+0000 (Coordinated Universal Time),Wed Apr 01 2020 12:02:31 GMT+0000 (Coordinated Universal Time),gripper-coin-set-of-four; gripper-coin-single
